Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 8719125.4699792825 0.0712684142 0.2211473181 0.2211473181 0.2051151947 0.2461382337
2.0000000000 BCG 2.0000000000 14404876.9979781322 0.0379315360 0.1410441897 0.1410441897 0.1655798047 0.1986957656
2.0000000000 BCG 3.0000000000 422180.7051637480 0.1646503422 0.3187515516 0.3187515516 0.2999888456 0.3599866147
2.0000000000 BCG 4.0000000000 4984213.6907335902 0.0520114346 0.1729296778 0.1729296778 0.1891402288 0.2269682745
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 12315207.3380819447 0.1050271368 0.2624109215 0.2624109215 0.3022750238 0.3627300285
4.0000000000 BCG 2.0000000000 3167026.9715116657 0.0558991056 0.2624109215 0.2624109215 0.2440123437 0.2928148125
4.0000000000 BCG 3.0000000000 898990.1107650016 0.2426426096 0.2624109215 0.2624109215 0.4420888251 0.5305065901
4.0000000000 BCG 4.0000000000 1721819.2749806959 0.0766484299 0.2624109215 0.2624109215 0.2787329687 0.3344795625
5.0000000000 DT 1.0000000000 4173697.1266888119 0.0637664759 0.2165315505 0.2165315505 0.1835241216 0.2202289459
5.0000000000 DT 2.0000000000 25157227.5712401234 0.0339387427 0.0698922605 0.0698922605 0.1481503515 0.1777804219
5.0000000000 DT 3.0000000000 2065671.9466216210 0.1473187273 0.2454064932 0.2454064932 0.2684110724 0.3220932868
5.0000000000 DT 4.0000000000 20020951.7633963861 0.0465365467 0.0698922605 0.0698922605 0.1692307310 0.2030768772
