Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 16517244.8543634992 0.0379315360 0.0892115866 0.0892115866 0.1016245271 0.1219494326
2.0000000000 BCG 2.0000000000 12013152.0094912555 0.1682653353 0.2937702776 0.2937702776 0.2783754729 0.3340505674
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 4377733.5252283383 0.1653399203 0.1700350008 0.1700350008 0.1497624610 0.1797149532
4.0000000000 BCG 2.0000000000 13725310.1701109726 0.3706091938 0.3706091938 0.3706091938 0.4102375390 0.4922850468
5.0000000000 DT 1.0000000000 35126450.8015462384 0.0867047520 0.0867047520 0.0867047520 0.0909272085 0.1091126502
5.0000000000 DT 2.0000000000 16291097.6064006910 0.1697190767 0.2769568527 0.2769568527 0.2490727915 0.2988873498
6.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.0909272085 0.1091126502
6.0000000000 DT 2.0000000000 59740044.1946197227 0.1505531948 0.2988873498 0.2988873498 0.2490727915 0.2988873498
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.0909272085 0.1091126502
7.0000000000 DTP 2.0000000000 51417548.4079469293 0.1505531948 0.2988873498 0.2988873498 0.2490727915 0.2988873498
8.0000000000 DTP 1.0000000000 36027774.9433945119 0.0379315360 0.1027803102 0.1027803102 0.1016245271 0.1219494326
8.0000000000 DTP 2.0000000000 72590487.2286413461 0.1682653353 0.1798631214 0.1798631214 0.2783754729 0.3340505674
9.0000000000 DTP-HepB-Hib 1.0000000000 15165130.1925005540 0.1557189371 0.4668376871 0.4668376871 0.4171954272 0.5006345126
9.0000000000 DTP-HepB-Hib 2.0000000000 36252418.2154463753 0.6907734819 1.0742371591 1.0742371591 1.1428045728 1.3713654874
10.0000000000 DTP-HepB-Hib 1.0000000000 0.0000000000 0.0000000000 0.2295856123 0.0000000000 0.6150958221 0.7381149865
