Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 12805635.8986281045 0.0379315360 0.1418307445 0.1418307445 0.1635660241 0.1962792289
2.0000000000 BCG 2.0000000000 10217393.4145821817 0.0520114346 0.1533032805 0.1533032805 0.1676740390 0.2012088468
2.0000000000 BCG 3.0000000000 5507367.5506444704 0.0747777297 0.2642303260 0.2642303260 0.2387599369 0.2865119242
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 3141732.6774943452 0.0558991056 0.2768351277 0.2768351277 0.2410446671 0.2892536005
4.0000000000 BCG 2.0000000000 3529644.9977647569 0.0766484299 0.2794330020 0.2794330020 0.2470985838 0.2965183006
4.0000000000 BCG 3.0000000000 11431666.0200802088 0.1101987595 0.3338460335 0.3338460335 0.3518567491 0.4222280989
5.0000000000 DT 1.0000000000 20283621.3911380693 0.1114535301 0.1373512906 0.1373512906 0.1463485479 0.1756182574
5.0000000000 DT 2.0000000000 30580502.6399758756 0.1114535301 0.1373512906 0.1373512906 0.1500241402 0.1800289682
5.0000000000 DT 3.0000000000 553424.3768329844 0.2557785220 0.2557785220 0.2557785220 0.2136273119 0.2563527743
6.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1463485479 0.1756182574
6.0000000000 DT 2.0000000000 10660612.5970649403 0.0648574153 0.1043027660 0.1043027660 0.1500241402 0.1800289682
6.0000000000 DT 3.0000000000 49079431.5975547805 0.1043027660 0.1043027660 0.1043027660 0.2136273119 0.2563527743
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1463485479 0.1756182574
7.0000000000 DTP 2.0000000000 2621172.5655685067 0.1078166635 0.1132857527 0.1132857527 0.1500241402 0.1800289682
