Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 2371895.0565485405 0.0379315360 0.1526385159 0.1526385159 0.1651387774 0.1981665329
2.0000000000 BCG 2.0000000000 10214395.0916635599 0.0441274006 0.1526385159 0.1526385159 0.1764760685 0.2117712822
2.0000000000 BCG 3.0000000000 8215321.8214542596 0.0712684142 0.1526385159 0.1526385159 0.1943074981 0.2331689977
2.0000000000 BCG 4.0000000000 7728784.8941883957 0.0747777297 0.2315925973 0.2315925973 0.2234193393 0.2681032072
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 6866012.0057983985 0.0558991056 0.2225046634 0.2225046634 0.2433624088 0.2920348905
4.0000000000 BCG 2.0000000000 2952563.8908978524 0.0650298535 0.2960993509 0.2960993509 0.2600699957 0.3120839949
4.0000000000 BCG 3.0000000000 1122576.0278314548 0.1050271368 0.3349271305 0.3349271305 0.2863478919 0.3436174703
4.0000000000 BCG 4.0000000000 7161891.7708116053 0.1101987595 0.3465339565 0.3465339565 0.3292495527 0.3950994633
5.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1477557482 0.1773068978
5.0000000000 DT 2.0000000000 35337130.8892562985 0.0843910369 0.1136877410 0.1136877410 0.1578996403 0.1894795683
5.0000000000 DT 3.0000000000 16080417.5186906308 0.1758911502 0.1758911502 0.1758911502 0.1738540772 0.2086248927
5.0000000000 DT 4.0000000000 0.0000000000 0.0000000000 0.2398818170 0.0000000000 0.1999015141 0.2398818170
