Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 9355674.4441424906 0.3031232937 0.3252362119 0.3252362119 0.3523040859 0.4227649031
2.0000000000 BCG 2.0000000000 16032581.9267119169 0.0379315360 0.0660277572 0.0660277572 0.0927479475 0.1112975370
2.0000000000 BCG 3.0000000000 3128182.9425391499 0.1434345963 0.2192090432 0.2192090432 0.1907349345 0.2288819214
2.0000000000 BCG 4.0000000000 13957.5504611996 0.4353273489 0.4467106676 0.4467106676 0.4898962962 0.5878755554
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 3845653.0715821930 0.4467080117 0.5800792200 0.5800792200 0.5191849687 0.6230219625
4.0000000000 BCG 2.0000000000 1271617.4213493057 0.0558991056 0.1615326715 0.1615326715 0.1366811858 0.1640174229
4.0000000000 BCG 3.0000000000 12981037.4257261548 0.2113772999 0.2430297528 0.2430297528 0.2810830614 0.3372996737
4.0000000000 BCG 4.0000000000 4735.7766816576 0.6415350406 0.8171736467 0.8171736467 0.7219524365 0.8663429238
5.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.2712155786 0.0000000000 0.3152194453 0.3782633344
5.0000000000 DT 2.0000000000 21987586.7851205021 0.0890669417 0.0890669417 0.0890669417 0.0829850057 0.0995820068
5.0000000000 DT 3.0000000000 29429961.6228264347 0.1308929039 0.1697264170 0.1697264170 0.1706575730 0.2047890876
5.0000000000 DT 4.0000000000 0.0000000000 0.0000000000 0.3895034175 0.0000000000 0.4383282650 0.5259939180
