Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 4655978.9677985162 0.0379315360 0.0777671070 0.0777671070 0.0729647235 0.0875576683
2.0000000000 BCG 2.0000000000 8629375.5276937094 0.1045525241 0.1088409683 0.1088409683 0.1282372019 0.1538846423
2.0000000000 BCG 3.0000000000 9053660.1410443373 0.1682653353 0.1736571027 0.1736571027 0.1938231429 0.2325877715
2.0000000000 BCG 4.0000000000 6191382.2273181938 0.2462262008 0.3790623786 0.3790623786 0.3568883507 0.4282660209
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 5753667.4757729135 0.1098534306 0.1098534306 0.1098534306 0.1075269610 0.1290323532
4.0000000000 BCG 2.0000000000 1855956.4083266966 0.1540774039 0.2181117924 0.2181117924 0.1889811396 0.2267773675
4.0000000000 BCG 3.0000000000 3130039.2308027931 0.2937260331 0.3222470413 0.3222470413 0.2856341053 0.3427609264
4.0000000000 BCG 4.0000000000 7363380.5804369077 0.5395816694 0.5395816694 0.5395816694 0.5259407274 0.6311288728
5.0000000000 DT 1.0000000000 2428362.3223563433 0.0339387427 0.0770829450 0.0770829450 0.0652842263 0.0783410716
5.0000000000 DT 2.0000000000 25888126.5830811262 0.0935469952 0.0973840243 0.0973840243 0.1147385491 0.1376862589
5.0000000000 DT 3.0000000000 23101059.5025094673 0.1505531948 0.1683844745 0.1683844745 0.1734207068 0.2081048482
5.0000000000 DT 4.0000000000 0.0000000000 0.0000000000 0.2203076534 0.0000000000 0.3193211559 0.3831853871
