Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 12176782.6008250006 0.0379315360 0.1471019082 0.1471019082 0.1635660241 0.1962792289
2.0000000000 BCG 2.0000000000 4057185.9810868427 0.0520114346 0.1876154829 0.1876154829 0.1676740390 0.2012088468
2.0000000000 BCG 3.0000000000 12296428.2819429114 0.0747777297 0.2182966533 0.2182966533 0.2387599369 0.2865119242
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 4165334.2212262060 0.0558991056 0.2323029134 0.2323029134 0.2410446671 0.2892536005
4.0000000000 BCG 2.0000000000 9689852.4312600959 0.0766484299 0.2323029134 0.2323029134 0.2470985838 0.2965183006
4.0000000000 BCG 3.0000000000 4247857.0428530090 0.1101987595 0.3978994380 0.3978994380 0.3518567491 0.4222280989
5.0000000000 DT 1.0000000000 298729.1013346612 0.0339387427 0.1660838402 0.1660838402 0.1463485479 0.1756182574
5.0000000000 DT 2.0000000000 13682630.8998115361 0.0465365467 0.1660838402 0.1660838402 0.1500241402 0.1800289682
5.0000000000 DT 3.0000000000 37436188.4068007320 0.1379322945 0.1936120601 0.1936120601 0.2136273119 0.2563527743
6.0000000000 DT 1.0000000000 47543376.6270326898 0.0600580398 0.0636301743 0.0636301743 0.1463485479 0.1756182574
6.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.1800289682 0.0000000000 0.1500241402 0.1800289682
6.0000000000 DT 3.0000000000 12196667.5675870329 0.2422939073 0.2422939073 0.2422939073 0.2136273119 0.2563527743
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1463485479 0.1756182574
7.0000000000 DTP 2.0000000000 40662166.2338333726 0.0465365467 0.0767015914 0.0767015914 0.1500241402 0.1800289682
