Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 3648645.8617542172 0.3031232937 0.4211232083 0.4211232083 0.3752361210 0.4502833452
2.0000000000 BCG 2.0000000000 12908681.8094709180 0.0379315360 0.0846169282 0.0846169282 0.0927479475 0.1112975370
2.0000000000 BCG 3.0000000000 11973069.1926296167 0.1434345963 0.1743877069 0.1743877069 0.1907349345 0.2288819214
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 9571374.9811133184 0.4900598181 0.5043798986 0.5043798986 0.5529795467 0.6635754560
4.0000000000 BCG 2.0000000000 4395517.5385903046 0.0558991056 0.1546806759 0.1546806759 0.1366811858 0.1640174229
4.0000000000 BCG 3.0000000000 4136151.1756356880 0.2113772999 0.3178645641 0.3178645641 0.2810830614 0.3372996737
5.0000000000 DT 1.0000000000 6510494.4095305763 0.2712155786 0.3882213834 0.3882213834 0.3357375819 0.4028850983
5.0000000000 DT 2.0000000000 24354113.7069543973 0.0577769381 0.0875860990 0.0875860990 0.0829850057 0.0995820068
5.0000000000 DT 3.0000000000 20552940.2914619558 0.1283362178 0.1833148282 0.1833148282 0.1706575730 0.2047890876
6.0000000000 DT 1.0000000000 31965323.3812857606 0.2712155786 0.2824011276 0.2824011276 0.3357375819 0.4028850983
6.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.0829850057 0.0995820068
6.0000000000 DT 3.0000000000 27774720.8133339621 0.1283362178 0.1726006583 0.1726006583 0.1706575730 0.2047890876
7.0000000000 DTP 1.0000000000 31965323.3812857606 0.2712155786 0.2824011276 0.2824011276 0.3357375819 0.4028850983
7.0000000000 DTP 2.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.0829850057 0.0995820068
