Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 8228037.0927994587 0.0379315360 0.1272824965 0.1272824965 0.1651387774 0.1981665329
2.0000000000 BCG 2.0000000000 9492859.3312810268 0.0441274006 0.1613509187 0.1613509187 0.1764760685 0.2117712822
2.0000000000 BCG 3.0000000000 6940329.4825772187 0.0712684142 0.1776540784 0.1776540784 0.1943074981 0.2331689977
2.0000000000 BCG 4.0000000000 3869170.9571970534 0.0747777297 0.2524453111 0.2524453111 0.2234193393 0.2681032072
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 1009869.9695474803 0.0558991056 0.2853509165 0.2853509165 0.2433624088 0.2920348905
4.0000000000 BCG 2.0000000000 3279351.4053516258 0.0650298535 0.2941018054 0.2941018054 0.2600699957 0.3120839949
4.0000000000 BCG 3.0000000000 2397568.3667084957 0.1050271368 0.2953249126 0.2953249126 0.2863478919 0.3436174703
4.0000000000 BCG 4.0000000000 11416253.9537317101 0.1101987595 0.2953249126 0.2953249126 0.3292495527 0.3950994633
5.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1477557482 0.1773068978
5.0000000000 DT 2.0000000000 38004434.4296791852 0.0394824110 0.0724053876 0.0724053876 0.1578996403 0.1894795683
5.0000000000 DT 3.0000000000 155764.7073737495 0.0637664759 0.2083923713 0.2083923713 0.1738540772 0.2086248927
5.0000000000 DT 4.0000000000 13257349.2708939873 0.0669063897 0.2235716449 0.2235716449 0.1999015141 0.2398818170
