Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 18366928.3436716646 0.0712684142 0.1873054222 0.1873054222 0.2119397550 0.2543277060
2.0000000000 BCG 2.0000000000 10163468.5201830901 0.0379315360 0.1808798866 0.1808798866 0.1696273704 0.2035528445
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 5080083.9631650727 0.1050271368 0.3509051353 0.3509051353 0.3123322705 0.3747987246
4.0000000000 BCG 2.0000000000 13022959.7321742401 0.0558991056 0.2326512896 0.2326512896 0.2499771774 0.2999726129
5.0000000000 DT 1.0000000000 51417548.4079469368 0.1130069486 0.2275563685 0.2275563685 0.1896303071 0.2275563685
5.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.1517718577 0.1821262293
6.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.2275563685 0.0000000000 0.1896303071 0.2275563685
6.0000000000 DT 2.0000000000 59740044.1946197227 0.0972637420 0.1821262293 0.1821262293 0.1517718577 0.1821262293
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.2275563685 0.0000000000 0.1896303071 0.2275563685
7.0000000000 DTP 2.0000000000 51417548.4079469368 0.1130069486 0.1821262293 0.1821262293 0.1517718577 0.1821262293
8.0000000000 DTP 1.0000000000 40263608.5662773401 0.0761694613 0.2145853461 0.2145853461 0.2119397550 0.2543277060
8.0000000000 DTP 2.0000000000 68354653.6057585180 0.0401389332 0.0401389332 0.0401389332 0.1696273704 0.2035528445
9.0000000000 DTP-HepB-Hib 1.0000000000 22260854.4183029868 0.8401255067 0.9320947425 0.9320947425 0.8700684678 1.0440821613
9.0000000000 DTP-HepB-Hib 2.0000000000 29156693.9896439500 0.1557189371 0.7068125793 0.7068125793 0.6963649942 0.8356379930
10.0000000000 DTP-HepB-Hib 1.0000000000 0.0000000000 0.0000000000 1.5393519045 0.0000000000 1.2827932538 1.5393519045
