Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 7736899.3837355208 0.0379315360 0.0667111709 0.0667111709 0.0729647235 0.0875576683
2.0000000000 BCG 2.0000000000 7793152.1146097621 0.1045525241 0.1172464375 0.1172464375 0.1282372019 0.1538846423
2.0000000000 BCG 3.0000000000 8349099.7634417787 0.1682653353 0.1818024701 0.1818024701 0.1938231429 0.2325877715
2.0000000000 BCG 4.0000000000 4651245.6020676922 0.2462262008 0.3937382025 0.3937382025 0.3568883507 0.4282660209
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 4.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 2672747.0598359089 0.0558991056 0.1215975464 0.1215975464 0.1075269610 0.1290323532
4.0000000000 BCG 2.0000000000 2692179.8214106439 0.1540774039 0.2137105213 0.2137105213 0.1889811396 0.2267773675
4.0000000000 BCG 3.0000000000 3439851.3624765892 0.2479699679 0.3199073399 0.3199073399 0.2856341053 0.3427609264
4.0000000000 BCG 4.0000000000 9298265.4516161699 0.4724915837 0.5006222385 0.5006222385 0.5259407274 0.6311288728
5.0000000000 DT 1.0000000000 3670454.9934850261 0.0339387427 0.0764062925 0.0764062925 0.0652842263 0.0783410716
5.0000000000 DT 2.0000000000 25888126.5830811262 0.0935469952 0.0973840243 0.0973840243 0.1147385491 0.1376862589
5.0000000000 DT 3.0000000000 18696911.7635876685 0.1505531948 0.1790398599 0.1790398599 0.1734207068 0.2081048482
5.0000000000 DT 4.0000000000 3162055.0677931160 0.2203076534 0.3770315814 0.3770315814 0.3193211559 0.3831853871
