Bundle Name m X Y_low Y Y_high R Rxtheta
1.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
1.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
2.0000000000 BCG 1.0000000000 8153111.0080265943 0.3031232937 0.3679392628 0.3679392628 0.3752361210 0.4502833452
2.0000000000 BCG 2.0000000000 6057689.9986562952 0.0379315360 0.1021077723 0.1021077723 0.0927479475 0.1112975370
2.0000000000 BCG 3.0000000000 14319595.8571718652 0.1434345963 0.1474853795 0.1474853795 0.1907349345 0.2288819214
3.0000000000 BCG 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 2.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
3.0000000000 BCG 3.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000
4.0000000000 BCG 1.0000000000 5066909.8348409431 0.4467080117 0.6001102017 0.6001102017 0.5529795467 0.6635754560
4.0000000000 BCG 2.0000000000 11246509.3494049273 0.0558991056 0.1329600259 0.1329600259 0.1366811858 0.1640174229
4.0000000000 BCG 3.0000000000 1789624.5110934395 0.2113772999 0.3294482225 0.3294482225 0.2810830614 0.3372996737
5.0000000000 DT 1.0000000000 0.0000000000 0.0000000000 0.2712155786 0.0000000000 0.3357375819 0.4028850983
5.0000000000 DT 2.0000000000 30864608.1164849736 0.0828959653 0.0828959653 0.0828959653 0.0829850057 0.0995820068
5.0000000000 DT 3.0000000000 20552940.2914619558 0.1582249897 0.1833148282 0.1833148282 0.1706575730 0.2047890876
6.0000000000 DT 1.0000000000 31965323.3812857606 0.2712155786 0.2824011276 0.2824011276 0.3357375819 0.4028850983
6.0000000000 DT 2.0000000000 0.0000000000 0.0000000000 0.0339387427 0.0000000000 0.0829850057 0.0995820068
6.0000000000 DT 3.0000000000 27774720.8133339621 0.1283362178 0.1726006583 0.1726006583 0.1706575730 0.2047890876
7.0000000000 DTP 1.0000000000 0.0000000000 0.0000000000 0.2712155786 0.0000000000 0.3357375819 0.4028850983
7.0000000000 DTP 2.0000000000 23044258.0290672556 0.0408845747 0.0884179704 0.0884179704 0.0829850057 0.0995820068
