ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_3_MC,1,BCG,1,0.00,0.00,0.00,0.28,0.19
market_assignments_GNI_3_MC,1,BCG,2,0.00,0.00,0.00,0.07,0.02
market_assignments_GNI_3_MC,1,BCG,3,0.00,0.00,0.00,0.14,0.09
market_assignments_GNI_3_MC,2,BCG,1,8153111.01,0.30,0.37,0.45,0.30
market_assignments_GNI_3_MC,2,BCG,2,6057690.00,0.04,0.10,0.11,0.04
market_assignments_GNI_3_MC,2,BCG,3,14319595.86,0.14,0.15,0.23,0.14
market_assignments_GNI_3_MC,3,BCG,1,0.00,0.00,0.00,0.24,0.16
market_assignments_GNI_3_MC,3,BCG,2,0.00,0.00,0.00,0.06,0.02
market_assignments_GNI_3_MC,3,BCG,3,0.00,0.00,0.00,0.12,0.08
market_assignments_GNI_3_MC,4,BCG,1,5066909.83,0.45,0.60,0.66,0.45
market_assignments_GNI_3_MC,4,BCG,2,11246509.35,0.06,0.13,0.16,0.06
market_assignments_GNI_3_MC,4,BCG,3,1789624.51,0.21,0.33,0.34,0.21
market_assignments_GNI_3_MC,5,DT,1,0.00,0.00,0.00,0.40,0.27
market_assignments_GNI_3_MC,5,DT,2,30864608.12,0.08,0.08,0.10,0.03
market_assignments_GNI_3_MC,5,DT,3,20552940.29,0.16,0.18,0.20,0.13
market_assignments_GNI_3_MC,6,DT,1,31965323.38,0.27,0.28,0.40,0.27
market_assignments_GNI_3_MC,6,DT,2,0.00,0.00,0.00,0.10,0.03
market_assignments_GNI_3_MC,6,DT,3,27774720.81,0.13,0.17,0.20,0.13
market_assignments_GNI_3_MC,7,DTP,1,0.00,0.00,0.00,0.40,0.27
market_assignments_GNI_3_MC,7,DTP,2,23044258.03,0.04,0.09,0.10,0.03
market_assignments_GNI_3_MC,7,DTP,3,28373290.38,0.17,0.17,0.20,0.13
market_assignments_GNI_3_MC,8,DTP,1,14126060.45,0.30,0.41,0.45,0.30
market_assignments_GNI_3_MC,8,DTP,2,51533414.15,0.04,0.04,0.11,0.04
market_assignments_GNI_3_MC,8,DTP,3,42958787.57,0.14,0.15,0.23,0.14
market_assignments_GNI_3_MC,9,DTP-HepB-Hib,1,0.00,0.00,0.00,1.85,1.24
market_assignments_GNI_3_MC,9,DTP-HepB-Hib,2,43406170.74,0.16,0.32,0.46,0.16
market_assignments_GNI_3_MC,9,DTP-HepB-Hib,3,8011377.67,0.59,0.91,0.94,0.59
market_assignments_GNI_3_MC,10,DTP-HepB-Hib,1,21102518.31,1.83,2.32,2.73,1.83
market_assignments_GNI_3_MC,10,DTP-HepB-Hib,2,13354388.18,0.23,0.63,0.67,0.23
market_assignments_GNI_3_MC,10,DTP-HepB-Hib,3,18041920.23,0.87,1.26,1.39,0.87
market_assignments_GNI_3_MC,11,DTP-HepB-Hib,1,6405442.15,1.68,2.40,2.49,1.68
market_assignments_GNI_3_MC,11,DTP-HepB-Hib,2,46093384.57,0.27,0.40,0.62,0.21
market_assignments_GNI_3_MC,11,DTP-HepB-Hib,3,0.00,0.00,0.00,1.26,0.79
market_assignments_GNI_3_MC,12,DTP-HepB-Hib,1,5193688.47,1.90,2.74,2.82,1.90
market_assignments_GNI_3_MC,12,DTP-HepB-Hib,2,46223859.94,0.29,0.44,0.70,0.24
market_assignments_GNI_3_MC,12,DTP-HepB-Hib,3,0.00,0.00,0.00,1.43,0.90
market_assignments_GNI_3_MC,13,DTP-HepB-Hib,1,5574459.39,1.83,2.64,2.73,1.83
market_assignments_GNI_3_MC,13,DTP-HepB-Hib,2,45843089.02,0.28,0.43,0.67,0.23
market_assignments_GNI_3_MC,13,DTP-HepB-Hib,3,0.00,0.00,0.00,1.39,0.87
market_assignments_GNI_3_MC,14,DTP-HepB-Hib,1,24682165.95,1.29,1.56,1.92,1.29
market_assignments_GNI_3_MC,14,DTP-HepB-Hib,2,2200743.29,0.16,0.47,0.47,0.16
market_assignments_GNI_3_MC,14,DTP-HepB-Hib,3,16014774.29,0.61,0.89,0.98,0.61
market_assignments_GNI_3_MC,15,DTP-HepB-Hib,1,5138087.33,1.20,1.73,1.78,1.20
market_assignments_GNI_3_MC,15,DTP-HepB-Hib,2,46279461.08,0.15,0.28,0.44,0.15
market_assignments_GNI_3_MC,15,DTP-HepB-Hib,3,0.00,0.00,0.00,0.90,0.57
market_assignments_GNI_3_MC,16,DTP-HepB-Hib,1,10530430.96,1.28,1.78,1.90,1.28
market_assignments_GNI_3_MC,16,DTP-HepB-Hib,2,40887117.45,0.24,0.34,0.47,0.16
market_assignments_GNI_3_MC,16,DTP-HepB-Hib,3,0.00,0.00,0.00,0.96,0.60
market_assignments_GNI_3_MC,17,HPV,1,21310215.59,7.34,7.64,10.90,7.34
market_assignments_GNI_3_MC,17,HPV,2,34355609.43,0.92,1.01,2.69,0.92
market_assignments_GNI_3_MC,17,HPV,3,28639191.71,3.47,3.57,5.54,3.47
market_assignments_GNI_3_MC,18,HPV,1,4340329.61,7.18,10.15,10.66,7.18
market_assignments_GNI_3_MC,18,HPV,2,11993769.44,0.90,2.19,2.64,0.90
market_assignments_GNI_3_MC,18,HPV,3,3579249.02,3.40,5.21,5.42,3.40
market_assignments_GNI_3_MC,19,HepB,1,0.00,0.00,0.00,1.16,0.78
market_assignments_GNI_3_MC,19,HepB,2,51399106.59,0.11,0.29,0.29,0.10
market_assignments_GNI_3_MC,19,HepB,3,18441.82,0.37,0.59,0.59,0.37
market_assignments_GNI_3_MC,20,HepB,1,4086325.71,0.96,1.39,1.42,0.96
market_assignments_GNI_3_MC,20,HepB,2,22796583.53,0.12,0.30,0.35,0.12
market_assignments_GNI_3_MC,20,HepB,3,16014774.29,0.45,0.66,0.72,0.45
market_assignments_GNI_3_MC,21,HepB,1,31965323.38,0.38,0.40,0.57,0.38
market_assignments_GNI_3_MC,21,HepB,2,19452225.03,0.05,0.13,0.14,0.05
market_assignments_GNI_3_MC,21,HepB,3,0.00,0.00,0.00,0.29,0.18
market_assignments_GNI_3_MC,22,HepB,1,0.00,0.00,0.00,0.59,0.40
market_assignments_GNI_3_MC,22,HepB,2,38980176.20,0.05,0.09,0.15,0.05
market_assignments_GNI_3_MC,22,HepB,3,3917507.33,0.19,0.30,0.30,0.19
market_assignments_GNI_3_MC,23,Hib,1,1140369.97,3.43,5.06,5.10,3.43
market_assignments_GNI_3_MC,23,Hib,2,33316536.52,0.43,1.03,1.26,0.43
market_assignments_GNI_3_MC,23,Hib,3,18041920.23,1.62,2.36,2.59,1.62
market_assignments_GNI_3_MC,24,IPV,1,7300852.48,3.33,4.56,4.95,3.33
market_assignments_GNI_3_MC,24,IPV,2,14121082.56,0.42,0.99,1.22,0.42
market_assignments_GNI_3_MC,24,IPV,3,0.00,0.00,0.00,2.52,1.58
market_assignments_GNI_3_MC,25,IPV,1,1000732.83,3.91,5.78,5.81,3.91
market_assignments_GNI_3_MC,25,IPV,2,33456173.66,0.49,1.17,1.44,0.49
market_assignments_GNI_3_MC,25,IPV,3,18041920.23,1.85,2.69,2.95,1.85
market_assignments_GNI_3_MC,26,IPV,1,12843206.57,4.95,6.77,7.35,4.95
market_assignments_GNI_3_MC,26,IPV,2,20532421.60,0.62,1.64,1.82,0.62
market_assignments_GNI_3_MC,26,IPV,3,18041920.23,2.34,3.40,3.73,2.34
market_assignments_GNI_3_MC,27,IPV,1,8402068.96,2.79,3.75,4.15,2.79
market_assignments_GNI_3_MC,27,IPV,2,13019866.08,0.35,0.85,1.03,0.35
market_assignments_GNI_3_MC,27,IPV,3,0.00,0.00,0.00,2.11,1.32
market_assignments_GNI_3_MC,28,IPV,1,1052272.72,3.72,5.47,5.52,3.72
market_assignments_GNI_3_MC,28,IPV,2,14121082.56,0.47,1.10,1.36,0.47
market_assignments_GNI_3_MC,28,IPV,3,6248579.76,1.76,2.62,2.81,1.76
market_assignments_GNI_3_MC,29,IPV,1,7876684.23,4.47,6.05,6.64,4.47
market_assignments_GNI_3_MC,29,IPV,2,7550009.93,0.56,1.50,1.64,0.56
market_assignments_GNI_3_MC,29,IPV,3,5995240.88,2.11,3.16,3.37,2.11
market_assignments_GNI_3_MC,30,MMR,1,7983181.05,2.25,2.97,3.34,2.25
market_assignments_GNI_3_MC,30,MMR,2,3361545.30,0.28,0.79,0.83,0.28
market_assignments_GNI_3_MC,30,MMR,3,6758317.35,1.06,1.55,1.70,1.06
market_assignments_GNI_3_MC,31,MMR,1,8002482.07,7.13,9.83,10.59,7.13
market_assignments_GNI_3_MC,31,MMR,2,22813441.19,0.89,2.11,2.62,0.89
market_assignments_GNI_3_MC,31,MMR,3,12027946.82,3.37,4.90,5.38,3.37
market_assignments_GNI_3_MC,32,MMR,1,7163050.01,4.71,6.32,6.99,4.71
market_assignments_GNI_3_MC,32,MMR,2,4266134.46,0.59,1.64,1.73,0.59
market_assignments_GNI_3_MC,32,MMR,3,6673859.23,2.23,3.24,3.55,2.23
market_assignments_GNI_3_MC,33,MMR,1,2501832.07,2.35,3.38,3.48,2.35
market_assignments_GNI_3_MC,33,MMR,2,8842894.28,0.29,0.75,0.86,0.29
market_assignments_GNI_3_MC,33,MMR,3,6758317.35,1.11,1.61,1.77,1.11
market_assignments_GNI_3_MC,34,OPV,1,30325228.27,0.29,0.33,0.43,0.29
market_assignments_GNI_3_MC,34,OPV,2,0.00,0.00,0.00,0.11,0.04
market_assignments_GNI_3_MC,34,OPV,3,12518641.80,0.14,0.20,0.22,0.14
market_assignments_GNI_3_MC,35,OPV,1,42620431.18,0.14,0.21,0.21,0.14
market_assignments_GNI_3_MC,35,OPV,2,0.00,0.00,0.00,0.05,0.02
market_assignments_GNI_3_MC,35,OPV,3,223438.90,0.07,0.11,0.11,0.07
market_assignments_GNI_3_MC,36,OPV,1,8346062.09,0.21,0.30,0.31,0.21
market_assignments_GNI_3_MC,36,OPV,2,44152764.62,0.03,0.05,0.08,0.03
market_assignments_GNI_3_MC,36,OPV,3,0.00,0.00,0.00,0.16,0.10
market_assignments_GNI_3_MC,37,OPV,1,7218022.69,0.22,0.32,0.33,0.22
market_assignments_GNI_3_MC,37,OPV,2,44199525.72,0.03,0.06,0.08,0.03
market_assignments_GNI_3_MC,37,OPV,3,0.00,0.00,0.00,0.17,0.11
market_assignments_GNI_3_MC,38,OPV,1,10258174.47,0.19,0.27,0.28,0.19
market_assignments_GNI_3_MC,38,OPV,2,41159373.94,0.02,0.05,0.07,0.02
market_assignments_GNI_3_MC,38,OPV,3,0.00,0.00,0.00,0.14,0.09
market_assignments_GNI_3_MC,39,OPV,1,8495392.79,0.21,0.30,0.31,0.21
market_assignments_GNI_3_MC,39,OPV,2,42922155.62,0.03,0.05,0.08,0.03
market_assignments_GNI_3_MC,39,OPV,3,0.00,0.00,0.00,0.16,0.10
market_assignments_GNI_3_MC,40,OPV,1,3011758.14,0.30,0.44,0.45,0.30
market_assignments_GNI_3_MC,40,OPV,2,48405790.27,0.04,0.06,0.11,0.04
market_assignments_GNI_3_MC,40,OPV,3,0.00,0.00,0.00,0.23,0.14
market_assignments_GNI_3_MC,41,OPV,1,42620431.18,0.22,0.33,0.33,0.22
market_assignments_GNI_3_MC,41,OPV,2,0.00,0.00,0.00,0.08,0.03
market_assignments_GNI_3_MC,41,OPV,3,277252.36,0.11,0.17,0.17,0.11
market_assignments_GNI_3_MC,42,OPV,1,0.00,0.00,0.00,0.40,0.27
