ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_3_BH,1,BCG,1,0.00,0.00,0.00,0.06,0.02
market_assignments_GNI_3_BH,1,BCG,2,0.00,0.00,0.00,0.12,0.08
market_assignments_GNI_3_BH,1,BCG,3,0.00,0.00,0.00,0.25,0.14
market_assignments_GNI_3_BH,2,BCG,1,9937993.46,0.04,0.08,0.10,0.04
market_assignments_GNI_3_BH,2,BCG,2,12285497.76,0.12,0.15,0.19,0.12
market_assignments_GNI_3_BH,2,BCG,3,6306905.64,0.22,0.36,0.39,0.22
market_assignments_GNI_3_BH,3,BCG,1,0.00,0.00,0.00,0.05,0.02
market_assignments_GNI_3_BH,3,BCG,2,0.00,0.00,0.00,0.10,0.06
market_assignments_GNI_3_BH,3,BCG,3,0.00,0.00,0.00,0.21,0.11
market_assignments_GNI_3_BH,4,BCG,1,3433125.01,0.06,0.14,0.15,0.06
market_assignments_GNI_3_BH,4,BCG,2,4961488.24,0.20,0.26,0.28,0.18
market_assignments_GNI_3_BH,4,BCG,3,9708430.44,0.48,0.48,0.58,0.32
market_assignments_GNI_3_BH,5,DT,1,12554871.08,0.04,0.08,0.09,0.03
market_assignments_GNI_3_BH,5,DT,2,35955297.93,0.13,0.13,0.17,0.11
market_assignments_GNI_3_BH,5,DT,3,2907379.40,0.20,0.35,0.35,0.20
market_assignments_GNI_3_BH,6,DT,1,0.00,0.00,0.00,0.09,0.03
market_assignments_GNI_3_BH,6,DT,2,15785660.08,0.11,0.16,0.17,0.11
market_assignments_GNI_3_BH,6,DT,3,43954384.12,0.20,0.20,0.35,0.20
market_assignments_GNI_3_BH,7,DTP,1,0.00,0.00,0.00,0.09,0.03
market_assignments_GNI_3_BH,7,DTP,2,7463164.29,0.11,0.16,0.17,0.11
market_assignments_GNI_3_BH,7,DTP,3,43954384.12,0.20,0.20,0.35,0.20
market_assignments_GNI_3_BH,8,DTP,1,18756613.53,0.04,0.09,0.10,0.04
market_assignments_GNI_3_BH,8,DTP,2,45907264.52,0.12,0.12,0.19,0.12
market_assignments_GNI_3_BH,8,DTP,3,43954384.12,0.22,0.23,0.39,0.22
market_assignments_GNI_3_BH,9,DTP-HepB-Hib,1,3745026.96,0.16,0.40,0.41,0.16
market_assignments_GNI_3_BH,9,DTP-HepB-Hib,2,3718137.33,0.49,0.77,0.78,0.49
market_assignments_GNI_3_BH,9,DTP-HepB-Hib,3,43954384.12,0.90,0.93,1.62,0.90
market_assignments_GNI_3_BH,10,DTP-HepB-Hib,1,0.00,0.00,0.00,0.60,0.23
market_assignments_GNI_3_BH,10,DTP-HepB-Hib,2,8544442.60,0.72,1.11,1.15,0.72
market_assignments_GNI_3_BH,10,DTP-HepB-Hib,3,43954384.12,1.32,1.37,2.39,1.32
market_assignments_GNI_3_BH,11,DTP-HepB-Hib,1,0.00,0.00,0.00,0.55,0.21
market_assignments_GNI_3_BH,11,DTP-HepB-Hib,2,8544442.60,0.66,1.01,1.05,0.66
market_assignments_GNI_3_BH,11,DTP-HepB-Hib,3,43954384.12,1.21,1.25,2.18,1.21
market_assignments_GNI_3_BH,12,DTP-HepB-Hib,1,0.00,0.00,0.00,0.63,0.24
market_assignments_GNI_3_BH,12,DTP-HepB-Hib,2,7463164.29,0.75,1.15,1.19,0.75
market_assignments_GNI_3_BH,12,DTP-HepB-Hib,3,43954384.12,1.37,1.42,2.47,1.37
market_assignments_GNI_3_BH,13,DTP-HepB-Hib,1,0.00,0.00,0.00,0.60,0.23
market_assignments_GNI_3_BH,13,DTP-HepB-Hib,2,7463164.29,0.72,1.11,1.15,0.72
market_assignments_GNI_3_BH,13,DTP-HepB-Hib,3,43954384.12,1.32,1.37,2.39,1.32
market_assignments_GNI_3_BH,14,DTP-HepB-Hib,1,0.00,0.00,0.00,0.43,0.16
market_assignments_GNI_3_BH,14,DTP-HepB-Hib,2,0.00,0.00,0.00,0.81,0.51
market_assignments_GNI_3_BH,14,DTP-HepB-Hib,3,42897683.53,0.93,1.68,1.68,0.93
market_assignments_GNI_3_BH,15,DTP-HepB-Hib,1,36368328.46,0.25,0.25,0.39,0.15
market_assignments_GNI_3_BH,15,DTP-HepB-Hib,2,0.00,0.00,0.00,0.75,0.47
market_assignments_GNI_3_BH,15,DTP-HepB-Hib,3,15049219.95,0.95,1.44,1.56,0.86
market_assignments_GNI_3_BH,16,DTP-HepB-Hib,1,0.00,0.00,0.00,0.42,0.16
market_assignments_GNI_3_BH,16,DTP-HepB-Hib,2,7463164.29,0.50,0.77,0.80,0.50
market_assignments_GNI_3_BH,16,DTP-HepB-Hib,3,43954384.12,0.92,0.95,1.66,0.92
market_assignments_GNI_3_BH,17,HPV,1,26495150.08,0.92,0.95,2.42,0.92
market_assignments_GNI_3_BH,17,HPV,2,30604843.02,2.88,2.97,4.59,2.88
market_assignments_GNI_3_BH,17,HPV,3,29302922.74,5.29,5.48,9.55,5.29
market_assignments_GNI_3_BH,18,HPV,1,247086.87,0.90,2.36,2.37,0.90
market_assignments_GNI_3_BH,18,HPV,2,3889128.99,2.82,4.30,4.49,2.82
market_assignments_GNI_3_BH,18,HPV,3,15777132.21,5.17,6.82,9.34,5.17
market_assignments_GNI_3_BH,19,HepB,1,0.00,0.00,0.00,0.26,0.10
market_assignments_GNI_3_BH,19,HepB,2,7463164.29,0.31,0.47,0.49,0.31
market_assignments_GNI_3_BH,19,HepB,3,43954384.12,0.56,0.58,1.02,0.56
market_assignments_GNI_3_BH,20,HepB,1,0.00,0.00,0.00,0.32,0.12
market_assignments_GNI_3_BH,20,HepB,2,0.00,0.00,0.00,0.60,0.38
market_assignments_GNI_3_BH,20,HepB,3,42897683.53,0.69,1.25,1.25,0.69
market_assignments_GNI_3_BH,21,HepB,1,0.00,0.00,0.00,0.13,0.05
market_assignments_GNI_3_BH,21,HepB,2,7463164.29,0.15,0.23,0.24,0.15
market_assignments_GNI_3_BH,21,HepB,3,43954384.12,0.28,0.29,0.50,0.28
market_assignments_GNI_3_BH,22,HepB,1,0.00,0.00,0.00,0.13,0.05
market_assignments_GNI_3_BH,22,HepB,2,0.00,0.00,0.00,0.25,0.16
market_assignments_GNI_3_BH,22,HepB,3,42897683.53,0.29,0.52,0.52,0.29
market_assignments_GNI_3_BH,23,Hib,1,0.00,0.00,0.00,1.13,0.43
market_assignments_GNI_3_BH,23,Hib,2,8544442.60,1.35,2.07,2.15,1.35
market_assignments_GNI_3_BH,23,Hib,3,43954384.12,2.47,2.56,4.46,2.47
market_assignments_GNI_3_BH,24,IPV,1,18691420.38,0.42,0.73,1.10,0.42
market_assignments_GNI_3_BH,24,IPV,2,2730514.66,1.31,2.03,2.09,1.31
market_assignments_GNI_3_BH,24,IPV,3,0.00,0.00,0.00,4.34,2.40
market_assignments_GNI_3_BH,25,IPV,1,0.00,0.00,0.00,1.29,0.49
market_assignments_GNI_3_BH,25,IPV,2,20125344.02,1.54,2.22,2.45,1.54
market_assignments_GNI_3_BH,25,IPV,3,32373482.70,2.82,4.02,5.09,2.82
market_assignments_GNI_3_BH,26,IPV,1,0.00,0.00,0.00,1.63,0.62
market_assignments_GNI_3_BH,26,IPV,2,7463164.29,1.94,3.00,3.09,1.94
market_assignments_GNI_3_BH,26,IPV,3,43954384.12,3.56,3.69,6.44,3.56
market_assignments_GNI_3_BH,27,IPV,1,21421935.04,0.35,0.92,0.92,0.35
market_assignments_GNI_3_BH,27,IPV,2,0.00,0.00,0.00,1.75,1.10
market_assignments_GNI_3_BH,27,IPV,3,0.00,0.00,0.00,3.63,2.01
market_assignments_GNI_3_BH,28,IPV,1,0.00,0.00,0.00,1.22,0.47
market_assignments_GNI_3_BH,28,IPV,2,21421935.04,1.46,2.33,2.33,1.46
market_assignments_GNI_3_BH,28,IPV,3,0.00,0.00,0.00,4.84,2.68
market_assignments_GNI_3_BH,29,IPV,1,0.00,0.00,0.00,1.47,0.56
market_assignments_GNI_3_BH,29,IPV,2,0.00,0.00,0.00,2.80,1.76
market_assignments_GNI_3_BH,29,IPV,3,21421935.04,3.22,5.81,5.81,3.22
market_assignments_GNI_3_BH,30,MMR,1,18103043.70,0.48,0.74,0.74,0.28
market_assignments_GNI_3_BH,30,MMR,2,0.00,0.00,0.00,1.41,0.88
market_assignments_GNI_3_BH,30,MMR,3,0.00,0.00,0.00,2.93,1.62
