ExpName[i], vacc_id, vacc_name, market, X_bm, YLow_bm, YHigh_bm, theta_Rbm, min_price\n
market_assignments_GNI_4_MC,15,DTP-HepB-Hib,2,21560642.82,0.15,0.39,0.44,0.15
market_assignments_GNI_4_MC,15,DTP-HepB-Hib,3,0.00,0.00,0.00,0.90,0.57
market_assignments_GNI_4_MC,15,DTP-HepB-Hib,4,41872.65,1.72,1.76,2.32,1.72
market_assignments_GNI_4_MC,16,DTP-HepB-Hib,1,29815032.94,1.28,1.32,1.78,1.28
market_assignments_GNI_4_MC,16,DTP-HepB-Hib,2,8791312.40,0.16,0.45,0.47,0.16
market_assignments_GNI_4_MC,16,DTP-HepB-Hib,3,12769330.42,0.60,0.91,0.96,0.60
market_assignments_GNI_4_MC,16,DTP-HepB-Hib,4,41872.65,1.83,1.88,2.48,1.83
market_assignments_GNI_4_MC,17,HPV,1,19876688.62,7.34,7.59,10.24,7.34
market_assignments_GNI_4_MC,17,HPV,2,34355609.43,0.92,1.01,2.69,0.92
market_assignments_GNI_4_MC,17,HPV,3,28639191.71,3.47,3.57,5.54,3.47
market_assignments_GNI_4_MC,17,HPV,4,27915.10,10.54,10.82,14.23,10.54
market_assignments_GNI_4_MC,18,HPV,1,16053394.68,7.18,7.21,10.01,7.18
market_assignments_GNI_4_MC,18,HPV,2,252789.26,0.90,2.63,2.64,0.90
market_assignments_GNI_4_MC,18,HPV,3,3579249.02,3.40,5.21,5.42,3.40
market_assignments_GNI_4_MC,18,HPV,4,27915.10,10.31,10.58,13.92,10.31
market_assignments_GNI_4_MC,19,HepB,1,29815032.94,0.78,0.81,1.09,0.78
market_assignments_GNI_4_MC,19,HepB,2,0.00,0.00,0.00,0.29,0.10
market_assignments_GNI_4_MC,19,HepB,3,21560642.82,0.37,0.52,0.59,0.37
market_assignments_GNI_4_MC,19,HepB,4,41872.65,1.12,1.15,1.52,1.12
