Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_Coverage_2_BH,2,1.05,0.421875,4110119744.234723,2773777618.491833,2672669806.31384,786127769.550447,3323991974.684276,
Low,TSSTSS market_assignments_Coverage_2_BH,2,1.05,0.421875,4110119744.234723,2773777618.491833,545084958.858306,2913712617.005982,1196407127.228741,
