Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_Coverage_4_BH,4,1.05,2.921875,4248266457.471723,2888899879.522667,1355065806.115384,2241878482.985902,2006387974.48582,
Low,TSSTSS market_assignments_Coverage_4_BH,4,1.05,2.921875,4248266457.471723,2888899879.522667,555091555.623077,3041852733.47821,1206413723.993513,
