Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_Coverage_3_BH,3,1.05,2.390625,4375937342.734274,2995292283.908126,1380180943.439562,2344434230.924275,2031503111.809999,
Low,TSSTSS market_assignments_Coverage_3_BH,3,1.05,2.390625,4375937342.734274,2995292283.908126,551835339.808085,3172779834.555753,1203157508.178522,
