Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSmarket_assignments_GNI_2_MC,2,1.05,0.34375,5393552883,3828089498,3379064484,1347950494,4045602389,
Low,TSS market_assignments_GNI_2_MC,2,1.05,0.34375,5393552883,3828089498,2396264523,2330750455,3062802429,
