Limit,Method,Cluster,Solve,N_Mkts,ExpName[i],interest_rate,_total_solve_time,MV,TSS,UVP,TPF,TCS,TVPC\n
High,BH,Coverage,UVP,2,UVP_market_assignments_Coverage_2_BH,1.05,1.171875,4017943383,2696963984,2350580898,1016040316,3001903067,
Low,BH,Coverage,UVP,4,UVP_market_assignments_Coverage_4_BH,1.05,1.1875,3933148768,2626301805,437689425.2,2844137175,1089011594,
Medium,MC,GNI,TSS,4,TSS_market_assignments_GNI_4_MC,1.05,0.484375,5156007552,3630135055,3099441494,1390028154,3765979399,
High,BH,Coverage,UVP,4,UVP_market_assignments_Coverage_4_BH,1.05,1.1875,3933148768,2626301805,2011361776,1270464824,2662683944,
Low,BH,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.203125,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,BH,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,BH,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,BH,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Medium,BH,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,MC,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,MC,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,BH,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,BH,Coverage,UVP,2,UVP_market_assignments_Coverage_2_BH,1.05,1.171875,4017943383,2696963984,1407303659,1959317555,2058625828,
Medium,MC,Coverage,UVP,2,UVP_market_assignments_Coverage_2_MC,1.05,0.15625,3686184465,2467524202,1219798589,1862089691,1824094775,
Medium,BH,Coverage,UVP,3,UVP_market_assignments_Coverage_3_BH,1.05,1.375,3774747782,2494300983,1071908381,2051517233,1723230549,
Medium,MC,Coverage,UVP,3,UVP_market_assignments_Coverage_3_MC,1.05,3.28125,3748345073,2472298726,1223363141,1873659765,1874685309,
High,BH,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,BH,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
