Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_GNI_2_BH,2,1.05,1.796875,4890357377.250628,3408759909.252501,3686872282.869757,536947189.257849,4353410187.992779,
Low,TSSTSS market_assignments_GNI_2_BH,2,1.05,1.796875,4890357377.250628,3408759909.252501,1732398707.559851,2491420764.567754,2398936612.682874,
