Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_Coverage_3_MC,3,1.05,0.28125,4033707782.205618,2757126965.98771,1528098780.522123,1901312815.833189,2132394966.372428,
Low,TSSTSS market_assignments_Coverage_3_MC,3,1.05,0.28125,4033707782.205618,2757126965.98771,609028172.259001,2820383424.096312,1213324358.109307,
