Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_Coverage_2_MC,2,1.05,0.5,4066706327.180189,2784625753.466519,2707725524.123563,754684617.206321,3312021709.973868,
Low,TSSTSS market_assignments_Coverage_2_MC,2,1.05,0.5,4066706327.180189,2784625753.466519,564239193.140184,2898170948.189699,1168535378.990489,
