Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSmarket_assignments_GNI_3_BH,3,1.05,1.203125,5167895791.914537,3640041921.472425,2832900470.721149,1668457416.070363,3499438375.844173,
Low,TSS market_assignments_GNI_3_BH,3,1.05,1.203125,5167895791.914537,3640041921.472425,2224767708.472864,2276590178.318652,2891305613.595885,
