Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_1,1,1.05,0.203125,3850129314.87654,2610792561.85943,2760226852.914295,492253928.091224,3357875386.785316,
Low,TSSTSS market_assignments_1,1,1.05,0.203125,3850129314.87654,2610792561.85943,271744588.276219,2980736192.7293,869393122.147239,
