Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSTSSmarket_assignments_Coverage_4_MC,4,1.05,1.53125,4137437426.548436,2796542353.753262,1543334726.604353,1942780531.57365,2194656894.974788,
Low,TSSTSS market_assignments_Coverage_4_MC,4,1.05,1.53125,4137437426.548436,2796542353.753262,564067347.879295,2922047910.298706,1215389516.249731,
