Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSmarket_assignments_GNI_4_MC,4,1.05,0.484375,5156007552.425682,3630135055.231709,3402460471.106375,1087009176.196284,4068998376.229399,
Low,TSS market_assignments_GNI_4_MC,4,1.05,0.484375,5156007552.425682,3630135055.231709,2796422515.934329,1693047131.368327,3462960421.057351,
