Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSmarket_assignments_GNI_3_MC,3,1.05,0.21875,5488036377.094114,3906825742.455409,3473456503.594322,1348041968.376773,4139994408.717344,
Low,TSS market_assignments_GNI_3_MC,3,1.05,0.21875,5488036377.094114,3906825742.455409,2865913432.024756,1955585039.946338,3532451337.147779,
