Limit, ExpName[i], n_markets, interest_rate, _total_solve_time, MV, TSS, UVP, TPF, TCS, TVPC\n
High,TSSmarket_assignments_GNI_4_BH,4,1.05,1.125,5356736971.113603,3797409570.804977,3016419042.958091,1673780023.032487,3682956948.081114,
Low,TSS market_assignments_GNI_4_BH,4,1.05,1.125,5356736971.113603,3797409570.804977,2539217779.236446,2150981286.754134,3205755684.359467,
